device_name,adom,serial,ip,platform,os_version,conn_status,db_status,policy_package,policy_status
cl-fw-rns-MartMinas-278,MART_MINAS,FGT40FTK2209EUXE,200.169.2.179,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,N/A,⚪ N/A
cl-fw-rsd-DOM-116-Resende,DOM_ATACAREJO,FGT40FTK2209HH50,189.84.176.93,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-rsd-DOM-116-Resende,❓ Unknown
cl-fw-sba-MartMinas-277,MART_MINAS,FGT40FTK2209EUFE,200.169.2.195,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,N/A,⚪ N/A
cl-fw-sgo-DOM-127-Sao_Goncalo,DOM_ATACAREJO,FGT40FTK22067878,189.80.254.61,FortiGate-40F,v7.0.11,🟢 Up,✅ In-Sync,cl-fw-DomAtacarejo_Lojas,❓ Unknown
cl-fw-sla-MartMinas-284,MART_MINAS,FGT40FTK2209F2S8,170.246.45.36,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,N/A,⚪ N/A
cl-fw-slu-MartMinas-204,MART_MINAS,FGT40FTK21099A5X,138.117.255.33,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-slu-MartMinas-288,MART_MINAS,FGT40FTK2209F5NP,168.232.199.250,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-slu-MartMinas-288,🟡 Modified
cl-fw-slu-MartMinas-289,MART_MINAS,FGT40FTK2209F6EZ,168.232.199.253,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-slu-MartMinas-289,🟡 Modified
cl-fw-smi-DOM-105-SJMeriti,DOM_ATACAREJO,FGT40FTK2209HHR3,187.72.125.57,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-rjo-DOM-105-SJMeriti,❓ Unknown
cl-fw-snps-MartMinas-217,MART_MINAS,FGT40FTK21099ADF,187.32.146.225,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-soe-MartMinas-241,MART_MINAS,FGT40FTK21008361,177.69.237.73,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-spo-MartMinas-escritorio,MART_MINAS,FGT40FTK21049173,189.112.164.226,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,N/A,⚪ N/A
cl-fw-sta-MartMinas-209,MART_MINAS,FGT40FTK210999Y2,189.112.194.249,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-tcs-MartMinas-227,MART_MINAS,FGT40FTK21099A4A,177.85.138.53,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-tot-MartMinas-233,MART_MINAS,FGT40FTK21099AJP,187.72.40.225,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-trl-DOM-108-Teresopolis,DOM_ATACAREJO,FGT40FTK2209HHH6,187.72.54.73,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-rjo-DOM-108-Teresopolis,❓ Unknown
cl-fw-tsp-MartMinas-258,MART_MINAS,FGT40FTK21099FFT,187.32.48.41,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-uba-MartMinas-220,MART_MINAS,FGT40FTK21050618,187.44.117.217,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-ula-MartMinas-210,MART_MINAS,FGT40FTK21020818,187.32.11.209,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-ula-MartMinas-222,MART_MINAS,FGT40FTK21099EB8,201.62.49.32,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-ula-MartMinas-238,MART_MINAS,FGT40FTK21008375,45.176.204.148,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-ula-MartMinas-246,MART_MINAS,FGT40FTK21024569,38.156.5.3,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-uni-MartMinas-240,MART_MINAS,FGT40FTK21008735,201.48.231.57,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-ura-MartMinas-207,MART_MINAS,FGT40FTK21022701,177.86.36.193,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-ura-MartMinas-223,MART_MINAS,FGT40FTK21099EA5,181.233.44.159,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-ura-MartMinas-265,MART_MINAS,FGT40FTK21099D40,179.127.158.137,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-vga-MartMinas-236,MART_MINAS,FGT40FTK21099E88,189.112.88.9,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-vpn-MartMinas-261,MART_MINAS,FGT40FTK21099FC8,177.69.126.25,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
