device_name,hostname,adom,serial,platform,os_version,status,file_size_bytes,file_size_kb,file_path,error_message
cl-fw-plo-MartMinas-280,cl-fw-plo-MartMinas-280,MART_MINAS,FGT40FTK2209EUJH,FortiGate-40F,v7.0.13,✅ Sucesso,697316,680.97,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-plo-MartMinas-280-17-05-47.conf,
cl-fw-pms-MartMinas-213,cl-fw-pms-MartMinas-213,MART_MINAS,FGT40FTK21099E1L,FortiGate-40F,v7.0.13,✅ Sucesso,709934,693.29,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-pms-MartMinas-213-17-05-47.conf,
cl-fw-pms-MartMinas-245,cl-fw-pms-MartMinas-245,MART_MINAS,FGT40FTK21049973,FortiGate-40F,v7.0.13,✅ Sucesso,717662,700.84,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-pms-MartMinas-245-17-05-47.conf,
cl-fw-prr-MartMinas-272,cl-fw-prr-MartMinas-272,MART_MINAS,FGT40FTK2209ESM4,FortiGate-40F,v7.0.13,✅ Sucesso,696868,680.54,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-prr-MartMinas-272-17-05-47.conf,
cl-fw-prs-MartMinas-226,cl-fw-prs-MartMinas-226,MART_MINAS,FGT40FTK21050901,FortiGate-40F,v7.0.13,✅ Sucesso,708559,691.95,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-prs-MartMinas-226-17-05-47.conf,
cl-fw-psa-MartMinas-216,cl-fw-psa-MartMinas-216,MART_MINAS,FGT40FTK21099FY5,FortiGate-40F,v7.0.13,✅ Sucesso,723008,706.06,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-psa-MartMinas-216-17-05-47.conf,
cl-fw-pso-MartMinas-231,cl-fw-pso-MartMinas-231,MART_MINAS,FGT40FTK21099A0C,FortiGate-40F,v7.0.13,✅ Sucesso,716754,699.96,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-pso-MartMinas-231-17-05-47.conf,
cl-fw-ptc-MartMinas-225,cl-fw-ptc-MartMinas-225,MART_MINAS,FGT40FTK21048262,FortiGate-40F,v7.0.13,✅ Sucesso,722232,705.3,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-ptc-MartMinas-225-17-05-47.conf,
cl-fw-ptu-MartMinas-224,cl-fw-ptu-MartMinas-224,MART_MINAS,FGT40FTK21056118,FortiGate-40F,v7.0.13,✅ Sucesso,706027,689.48,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-ptu-MartMinas-224-17-05-47.conf,
cl-fw-rns-MartMinas-278,cl-fw-rns-MartMinas-278,MART_MINAS,FGT40FTK2209EUXE,FortiGate-40F,v7.0.13,✅ Sucesso,689966,673.79,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-rns-MartMinas-278-17-05-47.conf,
cl-fw-sba-MartMinas-277,cl-fw-sba-MartMinas-277,MART_MINAS,FGT40FTK2209EUFE,FortiGate-40F,v7.0.13,✅ Sucesso,694594,678.31,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-sba-MartMinas-277-17-05-47.conf,
